"points","first_name","last_name","Position","Name...ID","Name","ID","Salary","Game.Info"
5.068,"mark","ingram","RB","Mark Ingram II (24169392)","mark ingram",24169392,5500,"NO@CAR 09/25/2022 01:00PM ET"
5.055,"breece","hall","RB","Breece Hall (24169404)","breece hall",24169404,5300,"CIN@NYJ 09/25/2022 01:00PM ET"
4.868,"alexander","mattison","RB","Alexander Mattison (24169380)","alexander mattison",24169380,5700,"DET@MIN 09/25/2022 01:00PM ET"
4.8085,"dontrell","hilliard","RB","Dontrell Hilliard (24169410)","dontrell hilliard",24169410,5100,"LV@TEN 09/25/2022 01:00PM ET"
4.7965,"deon","jackson","RB","Deon Jackson (24169630)","deon jackson",24169630,4000,"KC@IND 09/25/2022 01:00PM ET"
4.7035,"jerick","mckinnon","RB","Jerick McKinnon (24169452)","jerick mckinnon",24169452,4500,"KC@IND 09/25/2022 01:00PM ET"
4.412,"isiah","pacheco","RB","Isiah Pacheco (24169464)","isiah pacheco",24169464,4300,"KC@IND 09/25/2022 01:00PM ET"
4.40525,"kenneth","gainwell","RB","Kenneth Gainwell (24169416)","kenneth gainwell",24169416,5000,"PHI@WAS 09/25/2022 01:00PM ET"
4.3715,"gus","edwards","RB","Gus Edwards (24169442)","gus edwards",24169442,4700,"BAL@NE 09/25/2022 01:00PM ET"
4.30975,"rachaad","white","RB","Rachaad White (24169472)","rachaad white",24169472,4200,"GB@TB 09/25/2022 04:25PM ET"
4.24775,"jd","mckissic","RB","J.D. McKissic (24169402)","jd mckissic",24169402,5300,"PHI@WAS 09/25/2022 01:00PM ET"
4.208,"darrel","williams","RB","Darrel Williams (24169414)","darrel williams",24169414,5100,"LAR@ARI 09/25/2022 04:25PM ET"
4.1145,"cam","akers","RB","Cam Akers (24169388)","cam akers",24169388,5500,"LAR@ARI 09/25/2022 04:25PM ET"
4.0715,"keaontay","ingram","RB","Keaontay Ingram (24169610)","keaontay ingram",24169610,4000,"LAR@ARI 09/25/2022 04:25PM ET"
3.7155,"ronnie","rivers","RB","Ronnie Rivers (24169512)","ronnie rivers",24169512,4000,"LAR@ARI 09/25/2022 04:25PM ET"
3.59025,"chuba","hubbard","RB","Chuba Hubbard (24169420)","chuba hubbard",24169420,5000,"NO@CAR 09/25/2022 01:00PM ET"
3.49375,"james","cook","RB","James Cook (24169460)","james cook",24169460,4400,"BUF@MIA 09/25/2022 01:00PM ET"
