"Date","TSAscreenings"
"5/1/20",170254
"5/2/20",163692
"5/3/20",130601
"5/4/20",140409
"5/5/20",190863
"5/6/20",215444
"5/7/20",169580
"5/8/20",200815
"5/9/20",215645
"5/10/20",163205
"5/11/20",176667
"5/12/20",234928
"5/13/20",250467
"5/14/20",193340
"5/15/20",253807
"5/16/20",244176
"5/17/20",190477
"5/18/20",230367
"5/19/20",318449
"5/20/20",348673
"5/21/20",253190
"5/22/20",267451
"5/23/20",340769
"5/24/20",264843
"5/25/20",261170
"5/26/20",321776
"5/27/20",327133
"5/28/20",268867
"5/29/20",352947
"5/30/20",353261
"5/31/20",267742
"6/1/20",304436
"6/2/20",391882
"6/3/20",419675
"6/4/20",353016
"6/5/20",441255
"6/6/20",430414
"6/7/20",338382
"6/8/20",386969
"6/9/20",502209
"6/10/20",519304
"6/11/20",437119
"6/12/20",544046
"6/13/20",534528
"6/14/20",417924
"6/15/20",441829
"6/16/20",576514
"6/17/20",587908
"6/18/20",507129
"6/19/20",590456
"6/20/20",607540
"6/21/20",471421
"6/22/20",494826
"6/23/20",623624
"6/24/20",632984
"6/25/20",546310
"6/26/20",633810
"6/27/20",625235
"6/28/20",500054
"6/29/20",626516
"6/30/20",764761
"7/1/20",718988
"7/2/20",466669
"7/3/20",732123
"7/4/20",755555
"7/5/20",641761
"7/6/20",632498
"7/7/20",709653
"7/8/20",711124
"7/9/20",656284
"7/10/20",754545
"7/11/20",697985
"7/12/20",540268
"7/13/20",589285
"7/14/20",706164
"7/15/20",720378
"7/16/20",646654
"7/17/20",747422
"7/18/20",695330
"7/19/20",530421
"7/20/20",570951
"7/21/20",704815
"7/22/20",724770
"7/23/20",649027
"7/24/20",751205
"7/25/20",700043
"7/26/20",536756
"7/27/20",573200
"7/28/20",718310
"7/29/20",767320
"7/30/20",709033
"7/31/20",799861
"8/1/20",737235
"8/2/20",543601
"8/3/20",595739
"8/4/20",743599
"8/5/20",762547
"8/6/20",683212
"8/7/20",831789
"8/8/20",761861
"8/9/20",559420
"8/10/20",590749
"8/11/20",761821
"8/12/20",783744
"8/13/20",689895
"8/14/20",862949
"8/15/20",773319
"8/16/20",565946
"8/17/20",586718
"8/18/20",772380
"8/19/20",764468
"8/20/20",625822
"8/21/20",841806
"8/22/20",726788
"8/23/20",523186
"8/24/20",540043
"8/25/20",721060
"8/26/20",738873
"8/27/20",591734
"8/28/20",807695
"8/29/20",711178
"8/30/20",516068
"8/31/20",578131
"9/1/20",877698
"9/2/20",968673
"9/3/20",664640
"9/4/20",689630
"9/5/20",935308
"9/6/20",704075
"9/7/20",616923
"9/8/20",755051
"9/9/20",731353
"9/10/20",613703
"9/11/20",809850
"9/12/20",729558
"9/13/20",522383
"9/14/20",577847
"9/15/20",784746
"9/16/20",812214
"9/17/20",638575
"9/18/20",847968
"9/19/20",769936
"9/20/20",549741
"9/21/20",608726
"9/22/20",826316
"9/23/20",826329
"9/24/20",659350
"9/25/20",873038
"9/26/20",797699
"9/27/20",568688
"9/28/20",634046
"9/29/20",855908
"9/30/20",857186
"10/1/20",677661
"10/2/20",900911
"10/3/20",816838
"10/4/20",590766
"10/5/20",668519
"10/6/20",936915
"10/7/20",968545
"10/8/20",769868
"10/9/20",984234
"10/10/20",958440
"10/11/20",680894
"10/12/20",717940
"10/13/20",950024
"10/14/20",973046
"10/15/20",788743
"10/16/20",1031505
"10/17/20",921031
"10/18/20",662484
"10/19/20",694150
"10/20/20",934386
"10/22/20",958437
"10/23/20",755287
