"mlsNum","ADDRESS","CITY","STATE","ZIP","LAT","LON","PROPERTY.TYPE","BEDS","BATHS","Community","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","HOA.MONTH","URL","SOURCE","monthPayment","style","pricePerSqFt","redfinEst","PRICE"
73053793,"48 Salt Marsh Way","Chatham","MA","02650",41.7054003,-69.9541731,"Single Family Residential",5,3,"Chatham",2448,175074,1790,5,NA,"https://www.redfin.com/MA/North-Chatham/48-Salt-Marsh-Way-02650/home/131379067","MLS PIN",22075,"Cape, Antique",1550.24509803922,3807824,3795000
73053788,"261 Bartlett Rd","Plymouth","MA","02360",41.8995683,-70.5523134,"Single Family Residential",2,1,"Manomet",1160,9583,1950,5,NA,"https://www.redfin.com/MA/Plymouth/261-Bartlett-Rd-02360/home/16417927","MLS PIN",2903,"Ranch",387.931034482759,449797,450000
73050205,"56 Avon Rd","Yarmouth","MA","02675",41.7136403,-70.2068123,"Single Family Residential",3,2,"Yarmouth",1266,16117,1984,5,NA,"https://www.redfin.com/MA/Yarmouth-Port/56-Avon-Rd-02675/home/77374105","MLS PIN",3915,"Ranch",497.551342812006,648095,629900
22205707,"1057 State Hwy #2","Eastham","MA","02642",41.810814,-69.97291,"Condo/Co-op",1,1,"Eastham",365,NA,1949,5,82,"https://www.redfin.com/MA/Eastham/1057-State-Hwy-02642/unit-2/home/143813120","CCIMLS",1570,"1949",684.931506849315,250195,250000
22205722,"179 N Shore Boulevard B","East Sandwich","MA","02537",41.7496231,-70.4344278,"Single Family Residential",2,2,"East Sandwich Beach",1194,7841,1988,5,NA,"https://www.redfin.com/MA/East-Sandwich/179-N-Shore-Blvd-02537/unit-B/home/134936151","CCIMLS",9730,"Cape",1298.15745393635,1547425,1550000
22205749,"720 Pitcher's Way Unit 12A","Barnstable","MA","02601",41.661037,-70.308144,"Townhouse",2,1,"Barnstable",NA,NA,1988,6,462,"https://www.redfin.com/MA/Hyannis/720-Pitchers-Way-02601/unit-12A/home/77403225","CCIMLS",2104,"1988",NA,264980,260000
73053641,"358 Rte 6a #6","Sandwich","MA","02537",41.7426364,-70.4540462,"Condo/Co-op",1,1,"East Sandwich",224,NA,1936,6,185,"https://www.redfin.com/MA/East-Sandwich/358-MA-6A-02537/unit-6/home/168735338","MLS PIN",1253,"1936",758.928571428571,168233,170000
22205748,"29 Nauset Ln","Centerville","MA","02632",41.6595017,-70.3621774,"Single Family Residential",3,2,"Barnstable",1232,16988,1972,6,NA,"https://www.redfin.com/MA/Centerville/29-Nauset-Ln-02632/home/111024777","CCIMLS",2515,"Ranch",320.616883116883,399639,395000
22205747,"95 Third Ave","Hyannis Port","MA","02601",41.6366967,-70.3186087,"Single Family Residential",5,4.5,"Barnstable",4086,16117,2005,6,0,"https://www.redfin.com/MA/Hyannis/95-3rd-Ave-02601/home/182560207","CCIMLS",12068,"2005",488.252569750367,2008236,1995000
73053602,"394-412 Bearses","Barnstable","MA","02601",41.6613216,-70.2970324,"Multi-Family (2-4 Unit)",18,8,"Barnstable",6760,29620,1945,6,NA,"https://www.redfin.com/MA/Hyannis/394-Bearses-Way-02601/home/77395112","MLS PIN",13407,"Barnstable",325.42899408284,2066516,2199900
22205745,"164 Indian Trl","Dennis Port","MA","02639",41.6735219,-70.1339753,"Single Family Residential",2,1,"Dennis",660,28314,1930,6,NA,"https://www.redfin.com/MA/Dennis-Port/164-Indian-Trl-02639/home/77341834","CCIMLS",2953,"Ranch",756.060606060606,701881.5,499000
22205743,"66 West Great Western Rd","Yarmouth Port","MA","02675",41.6924218,-70.1938281,"Single Family Residential",3,2,"Yarmouth",1725,40015,2022,6,NA,"https://www.redfin.com/MA/Yarmouth-Port/66-W-Great-Western-Rd-02675/home/182550483","CCIMLS",5349,"Ranch",460.869565217391,801559,795000
73053132,"46 Heritage Dr","Yarmouth","MA","02673",41.6392627,-70.238856,"Single Family Residential",3,3,"Heritage Drive",1855,31363,1981,7,NA,"https://www.redfin.com/MA/West-Yarmouth/46-Heritage-Dr-02673/home/135686699","MLS PIN",6660,"Contemporary",592.991913746631,1107282,1100000
