date,TSA_screenings,,
9/25/20,"873,038",,
9/26/20,"797,699",,
9/27/20,"568,688",,
9/28/20,"634,046",,
9/29/20,"855,908",,
9/30/20,"857,186",,
10/1/20,"677,661",,
10/2/20,"900,911",,
10/3/20,"816,838",,
10/4/20,"590,766",,
10/5/20,"668,519",,
10/6/20,"936,915",,
10/7/20,"968,545",,
10/8/20,"769,868",,
10/9/20,"984,234",,
10/10/20,"958,440",,
10/11/20,"680,894",,
10/12/20,"717,940",,
10/13/20,"950,024",,
10/14/20,"973,046",,
10/15/20,"788,743",,
10/16/20,"1,031,505",,
10/17/20,"921,031",,
10/18/20,"662,484",,
10/19/20,"694,150",,
10/20/20,"934,386",,
10/22/20,"958,437",,
10/23/20,"755,287",,
10/24/20,"983,745",,
10/25/20,"898,735",,
10/26/20,"648,517",,
10/27/20,"666,957",,
10/28/20,"873,636",,
10/29/20,"892,712",,
10/30/20,"618,476",,
10/31/20,"936,092",,
11/1/20,"846,138",,
11/2/20,"575,829",,
11/3/20,"636,533",,
11/4/20,"867,105",,
11/5/20,"895,091",,
11/6/20,"689,951",,
11/7/20,"973,020",,
11/8/20,"836,600",,
11/9/20,"596,475",,
11/10/20,"674,633",,
11/11/20,"866,679",,
11/12/20,"881,579",,
11/13/20,"697,360",,
11/14/20,"978,297",,
11/15/20,"883,157",,
11/16/20,"611,497",,
11/17/20,"703,135",,
11/18/20,"907,332",,
11/19/20,"1,019,836",,
11/20/20,"984,369",,
11/21/20,"1,047,934",,
11/22/20,"917,354",,
11/23/20,"912,090",,
11/24/20,"1,070,967",,
11/25/20,"560,902",,
11/26/20,"820,399",,
11/27/20,"964,630",,
11/28/20,"1,176,091",,
11/29/20,"981,912",,
11/30/20,"780,283",,
12/1/20,"632,356",,
12/2/20,"738,050",,
12/3/20,"753,951",,
12/4/20,"629,430",,
12/5/20,"837,137",,
12/6/20,"703,546",,
12/7/20,"501,513",,
12/8/20,"564,372",,
12/9/20,"754,307",,
12/10/20,"787,489",,
12/11/20,"662,380",,
12/12/20,"865,014",,
12/13/20,"752,451",,
12/14/20,"552,024",,
12/15/20,"641,966",,
12/16/20,"846,934",,
12/17/20,"1,066,747",,
12/18/20,"1,073,563",,
12/19/20,"1,064,619",,
12/20/20,"954,782",,
12/21/20,"992,167",,
12/22/20,"1,191,123",,
12/23/20,"846,520",,
12/24/20,"616,469",,
12/25/20,"1,128,773",,
12/26/20,"1,284,599",,
12/27/20,"1,111,751",,
12/28/20,"1,019,347",,
12/29/20,"1,163,696",,
12/30/20,"874,406",,
12/31/20,"805,990",,
1/1/21,"1,192,881",,
1/2/21,"1,327,289",,
1/3/21,"1,080,346",,
1/4/21,"766,594",,
1/5/21,"665,855",,
1/6/21,"771,734",,
1/7/21,"772,471",,
1/8/21,"709,444",,
1/9/21,"886,536",,
1/10/21,"708,177",,
1/11/21,"520,117",,
1/12/21,"567,401",,
1/13/21,"803,688",,
1/14/21,"903,039",,
1/15/21,"690,438",,
1/16/21,"810,654",,
1/17/21,"878,048",,
1/18/21,"560,190",,
1/19/21,"542,338",,
1/20/21,"728,978",,
1/21/21,"755,028",,
1/22/21,"603,527",,
1/23/21,"838,116",,
1/24/21,"701,709",,
1/25/21,"468,933",,
1/26/21,"536,935",,
1/27/21,"750,558",,
1/28/21,"774,688",,
1/29/21,"617,489",,
1/30/21,"859,039",,
1/31/21,"628,989",,
2/1/21,"493,338",,
2/2/21,"618,615",,
2/3/21,"778,065",,
2/4/21,"868,624",,
2/5/21,"705,951",,
2/6/21,"854,636",,
2/7/21,"864,783",,
2/8/21,"617,619",,
2/9/21,"735,009",,
2/10/21,"1,034,514",,
2/11/21,"1,151,420",,
2/12/21,"900,696",,
2/13/21,"946,458",,
2/14/21,"967,693",,
2/15/21,"738,825",,
2/16/21,"773,422",,
2/17/21,"914,823",,
2/18/21,"1,059,452",,
2/19/21,"942,238",,
2/20/21,"1,115,479",,
2/21/21,"963,280",,
2/22/21,"714,725",,
2/23/21,"802,230",,
2/24/21,"1,051,149",,
2/25/21,"1,096,348",,
2/26/21,"917,282",,
2/27/21,"1,190,682",,
2/28/21,"1,049,692",,
3/1/21,"744,812",,
3/2/21,"826,924",,
3/3/21,"1,107,534",,
3/4/21,"1,168,734",,
3/5/21,"992,406",,
3/6/21,"1,278,557",,
3/7/21,"1,119,303",,
3/8/21,"825,745",,
3/9/21,"974,221",,
3/10/21,"1,286,894",,
3/11/21,"1,409,771",,
3/12/21,"1,227,484",,
3/13/21,"1,345,284",,
3/14/21,"1,267,345",,
3/15/21,"1,092,548",,
3/16/21,"1,146,539",,
3/17/21,"1,413,141",,
3/18/21,"1,477,841",,
3/19/21,"1,373,259",,
3/20/21,"1,543,136",,
3/21/21,"1,360,290",,
3/22/21,"1,076,453",,
3/23/21,"1,164,954",,
3/24/21,"1,444,744",,
3/25/21,"1,535,156",,
3/26/21,"1,408,198",,
3/27/21,"1,574,228",,
3/28/21,"1,406,234",,
3/29/21,"1,130,520",,
3/30/21,"1,278,113",,
3/31/21,"1,562,239",,
4/1/21,"1,580,785",,
4/2/21,"1,397,958",,
4/3/21,"1,543,474",,
4/4/21,"1,561,959",,
4/5/21,"1,195,306",,
4/6/21,"1,230,939",,
4/7/21,"1,510,829",,
4/8/21,"1,549,181",,
4/9/21,"1,378,237",,
4/10/21,"1,561,495",,
4/11/21,"1,468,972",,
4/12/21,"1,085,034",,
4/13/21,"1,152,703",,
4/14/21,"1,491,435",,
4/15/21,"1,468,218",,
4/16/21,"1,277,815",,
4/17/21,"1,572,383",,
