"Category..Tab.Name.","State","Code","Location","Zip","Sq..Feet","Year.Opened","Type","Full.Description.of.Operation","cleanZip","country","zip","city","state","stateAbb","county","lat","lon","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP","dupeLocation","retailer"
"US FC/DC Network","Florida","XUSF","901 W Landstreet Rd, Suite C. Orlando. Florida, USA, 32824- 8028","32824","180000","Jul-2014","Large Non-Sortable","Large Non-Sortable. Run by 3PL NFI",32824,"US",32824,"Orlando","Florida","FL","Orange",28.3932,-81.3622,32824,"Orange County","location_ FL",12095,"H1",FALSE,"amzn"
"US FC/DC Network","Florida","JAX1 / JAX2","12900 Pecan Park Road, Florida, Jacksonville, USA 32218-2432","32218","855000","Sep-2017","Small Sortable","Small Sortable",32218,"US",32218,"Jacksonville","Florida","FL","Duval",30.4507,-81.6626,32218,"Duval County","location_ FL",12031,"H6",FALSE,"amzn"
"US FC/DC Network","Florida","JAX3","13333 103rd St., Jacksonville, Florida, USA, 32210-8686","32210","1016000","Oct-2017","Large Non-Sortable","Large Non-Sortable",32210,"US",32210,"Jacksonville","Florida","FL","Duval",30.2687,-81.7473,32210,"Duval County","location_ FL",12031,"H6",FALSE,"amzn"
"US FC/DC Network","Florida","MIA1","14000 NW 37th Ave.. OpaLocka, Florida, USA, 33054","33054","855000","Apr-2019","Small Sortable","Small Sortable",33054,"US",33054,"Opa Locka","Florida","FL","Miami-Dade",25.9097,-80.247,33054,"Miami-Dade County","location_ FL",12086,"H1",FALSE,"amzn"
"US FC/DC Network","Florida","MCO1","12340 Boggy Creek Rd, Lake Nona, Orlando, Florida, USA, 32824-6902","32824","855000","Aug-2018","Small Sortable","Small Sortable",32824,"US",32824,"Orlando","Florida","FL","Orange",28.3932,-81.3622,32824,"Orange County","location_ FL",12095,"H1",FALSE,"amzn"
"US FC/DC Network","Georgia","ATL7","6855 Shannon Parkway, Union City, Georgia, USA, 30291","30291","517100","Feb-2015","Supplemental Fulfillment Center","Supplemental Fulfillment Center",30291,"US",30291,"Union City","Georgia","GA","Fulton",33.5832,-84.5499,30291,"Fulton County","location_ GA",13121,"H1",FALSE,"amzn"
"US FC/DC Network","Georgia","ATL8","2201 Thornton Road. Lithia Springs, Georgia, USA, 30122- 3895","30122","733200","Nov-2015","Specialty Fulfillment Center","Specialty Fulfillment Center",30122,"US",30122,"Lithia Springs","Georgia","GA","Douglas",33.7655,-84.6469,30122,"Cobb County","location_ GA",13067,"H1",FALSE,"amzn"
"US FC/DC Network","Georgia","ATL8","2201 Thornton Road. Lithia Springs, Georgia, USA, 30122- 3895","30122","733200","Nov-2015","Specialty Fulfillment Center","Specialty Fulfillment Center",30122,"US",30122,"Lithia Springs","Georgia","GA","Douglas",33.7655,-84.6469,30122,"Douglas County","location_ GA",13097,"H1",TRUE,"amzn"
"US FC/DC Network","Georgia","MGE1 / MGE7","650 Broadway Ave., Braselton, Georgia. USA, 30517-3002","30517","613000","Oct-2016","Large Sortable","Large Sortable: Household decor items, sporting equipment and gardening tools",30517,"US",30517,"Braselton","Georgia","GA","Jackson",34.1389,-83.7812,30517,"Barrow County","location_ GA",13013,"H1",FALSE,"amzn"
"US FC/DC Network","Georgia","MGE1 / MGE7","650 Broadway Ave., Braselton, Georgia. USA, 30517-3002","30517","613000","Oct-2016","Large Sortable","Large Sortable: Household decor items, sporting equipment and gardening tools",30517,"US",30517,"Braselton","Georgia","GA","Jackson",34.1389,-83.7812,30517,"Gwinnett County","location_ GA",13135,"H1",TRUE,"amzn"
"US FC/DC Network","Georgia","MGE1 / MGE7","650 Broadway Ave., Braselton, Georgia. USA, 30517-3002","30517","613000","Oct-2016","Large Sortable","Large Sortable: Household decor items, sporting equipment and gardening tools",30517,"US",30517,"Braselton","Georgia","GA","Jackson",34.1389,-83.7812,30517,"Hall County","location_ GA",13139,"H1",TRUE,"amzn"
"US FC/DC Network","Georgia","MGE1 / MGE7","650 Broadway Ave., Braselton, Georgia. USA, 30517-3002","30517","613000","Oct-2016","Large Sortable","Large Sortable: Household decor items, sporting equipment and gardening tools",30517,"US",30517,"Braselton","Georgia","GA","Jackson",34.1389,-83.7812,30517,"Jackson County","location_ GA",13157,"H1",TRUE,"amzn"
"US FC/DC Network","Georgia","MGE3","808 Hog Mountain Road.
 Building F, Jefferson, Georgia, USA, 30549","30549","822300","Jul-2017","Large Sortable/Non-Sortable","Large Sortable/Non-Sortable",30549,"US",30549,"Jefferson","Georgia","GA","Jackson",34.1062,-83.5708,30549,"Jackson County","location_ GA",13157,"H1",FALSE,"amzn"
"US FC/DC Network","Georgia","SAV3","7001 Skipper Road, Macon, Georgia. USA. 31216-6427","31216","1016000","Jul-2019","Large Non-Sortable","Large Non-Sortable",31216,"US",31216,"Macon","Georgia","GA","Bibb",32.7486,-83.7477,31216,"Bibb County","location_ GA",13021,"H1",FALSE,"amzn"
"US FC/DC Network","Georgia","CSG1","280 Bridgeport Boulevard, Newnan, Georgia, USA, 30263","30263","1002200","2020","Large Non-Sortable","Large Non-Sortable",30263,"US",30263,"Newnan","Georgia","GA","Coweta",33.3696,-84.8194,30263,"Coweta County","location_ GA",13077,"H1",FALSE,"amzn"
"US FC/DC Network","Georgia","CSG1","280 Bridgeport Boulevard, Newnan, Georgia, USA, 30263","30263","1002200","2020","Large Non-Sortable","Large Non-Sortable",30263,"US",30263,"Newnan","Georgia","GA","Coweta",33.3696,-84.8194,30263,"Heard County","location_ GA",13149,"H1",TRUE,"amzn"
"US FC/DC Network","Illinois","MDW4","201 Emerald Drive, Joliet, Illinois, USA, 60433-3281","60433","700000","Oct-2016","Specialty Fulfillment Center","Specialty Fulfillment Center for Apparel, shoes, watches and jewelry ",60433,"US",60433,"Joliet","Illinois","IL","Will",41.5119,-88.0569,60433,"Will County","location_ IL",17197,"H1",FALSE,"amzn"
